CountryName,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014
Cyprus,74.72527369,76.27586102,77.2222201,78.71148398,80.0841459,79.88668944,78.81355485,78.7623083,78.82187708
Czech Republic,73.61516199,72.8070148,72.28739215,72.47437451,72.3529423,73.18518745,73.89379973,74.81697832,74.99999721
Denmark,85.47486322,85.51336222,85.69424384,86.3247879,86.54124538,87.00729704,87.55555329,88.40361358,88.53695032
Djibouti,50.90634791,51.66163495,52.33785696,52.93233197,53.3733135,53.58209183,53.64041135,53.61890823,53.67647059
Dominica,..,..,..,..,..,..,..,..,..
Dominican Republic,61.89290022,62.79650461,63.48808082,63.89937011,64.63878202,64.84771129,65.05718265,65.26717587,65.47770895
Ecuador,65.96736184,64.44708888,63.26530472,64.12121397,65.09091002,65.4963674,65.85956723,66.14268776,66.50544381
"Egypt, Arab Rep.",27.8688531,30.65395032,30.84239298,31.12313873,31.44399422,31.49394167,31.6353899,31.68449171,31.73333232
El Salvador,58.27984677,58.01526636,57.80856504,58.63808097,59.59596286,59.92414973,60.25316263,60.50632815,60.88607402
Equatorial Guinea,86.90476377,86.99891701,86.99891701,87.10725771,87.21559842,87.21559842,87.32393912,87.52711455,87.52711455
Eritrea,87.80760477,88.03131499,88.81431786,88.82681564,88.74024658,88.96321713,88.97549979,89.08685666,89.19821353
Estonia,81.24077176,78.84058192,79.31034766,80.81394769,83.13609768,83.35766201,81.51383186,81.56748842,81.47612226
Ethiopia,86.43881385,86.62983594,86.80710166,87.09677611,87.17948674,87.37429827,87.47203089,87.56998239,87.78027548
Faeroe Islands,..,..,..,..,..,..,..,..,..
Fiji,51.91781031,52.28849038,52.08333333,52.08333333,51.94444656,51.94444656,52.08333333,52.08333333,52.08333333
Finland,86.81818066,87.27272496,86.46616541,88.11727745,86.99690726,86.26543039,87.09175325,87.03125119,86.97017404
France,80.3858511,81.12903103,81.4516129,81.96457774,82.09677665,82.46753327,82.36246303,82.30519808,82.41041892
French Polynesia,72.50384312,73.02325345,73.36448709,73.20872622,73.4375,73.32293466,73.47893853,73.36448709,73.20872622
Gabon,84.89096977,85.22550021,85.40372468,85.44891961,85.78052955,85.8243443,86.02150739,85.93272087,86.12805078
"Gambia, The",85.98802761,85.98802761,86.21103143,86.55461685,86.77884567,86.88327109,86.98794813,87.09287771,87.19806073
Georgia,75.54645019,75.51299852,75.44337917,75.30529484,75.23680288,75.23553059,75.23427451,75.23302417,75.23178707
Germany,77.17718124,77.96102306,78.22822773,78.94736842,79.48717698,80.45112782,80.57228731,80.72288741,80.87349327
Ghana,94.3342775,94.20085056,94.34229113,94.35028273,94.35825118,94.233476,94.38202223,94.25770534,94.27374503
Greece,65.38461538,65.43209804,65.48536056,67.23338802,68.47825688,69.35229393,70.60703169,70.72000122,70.55999756
Greenland,..,..,..,..,..,..,..,..,..
Grenada,..,..,..,..,..,..,..,..,..
Guam,79.80364529,70.34482759,73.08229255,76.06232567,78.1740377,80.31609591,80.28776869,80.25936533,80.2308745
Guatemala,53.44632682,54.1430211,54.54545455,54.87528708,55.32879924,55.44218052,55.66893444,55.89569268,56.12245092
Guinea,81.8646181,82.24776375,82.24776375,83.0140453,83.39719094,83.52490291,83.65261487,83.78032684,83.80101488
Guinea-Bissau,84.84076239,85.58673108,85.96938803,86.35203524,86.73469219,86.86224126,86.75159041,86.878977,87.00637331
Guyana,48.41075427,48.89975368,49.5110006,50.24509898,51.10564827,51.72413987,52.28677187,52.91925276,53.62500191
Haiti,84.3390834,84.52721693,84.85714504,85.04273983,85.24822479,85.28996017,85.59321449,85.77465004,85.93530209
Honduras,48.25930287,49.0361455,49.57780183,50,50.54282359,50.90470445,51.2665853,51.62846616,51.99034702
"Hong Kong SAR, China",73.34273467,74.60992691,75.86206953,76.47907311,75.73099135,75.80645612,75.8823507,75.66371228,75.48006023
Hungary,73.17486818,72.66553163,72.94520096,73.36769794,74.95712064,74.53310762,74.62437333,74.6666654,74.83333588
Iceland,87.27050883,87.60736384,87.62376284,89.04458793,89.56743371,89.60205608,91.33246531,91.08526952,90.82687554
India,42.39130094,40.58323243,38.87530324,37.14637101,35.39603874,34.62017208,33.66708273,33.79223966,33.79223966
